"Well","Initial"
"A1",1
"A2",1
"A3",1
"A4",1
"A5",1
"A6",1
"A7",1
"A8",1
"A9",1
"A10",1
"A11",1
"A12",1
"B1",2
"B2",2
"B3",2
"B4",2
"B5",2
"B6",2
"B7",2
"B8",2
"B9",2
"B10",2
"B11",2
"B12",2
"C1",4
"C2",4
"C3",4
"C4",4
"C5",4
"C6",4
"C7",4
"C8",4
"C9",4
"C10",4
"C11",4
"C12",4
"D1",8
"D2",8
"D3",8
"D4",8
"D5",8
"D6",8
"D7",8
"D8",8
"D9",8
"D10",8
"D11",8
"D12",8
"E1",16
"E2",16
"E3",16
"E4",16
"E5",16
"E6",16
"E7",16
"E8",16
"E9",16
"E10",16
"E11",16
"E12",16
"F1",32
"F2",32
"F3",32
"F4",32
"F5",32
"F6",32
"F7",32
"F8",32
"F9",32
"F10",32
"F11",32
"F12",32
"G1",64
"G2",64
"G3",64
"G4",64
"G5",64
"G6",64
"G7",64
"G8",64
"G9",64
"G10",64
"G11",64
"G12",64
"H1",0
"H2",0
"H3",0
"H4",0
"H5",0
"H6",0
"H7",0
"H8",0
"H9",0
"H10",0
"H11",0
"H12",0
