Well,Initial,Cafeteria
A1,1,10
A2,1,10
A3,1,10
A4,1,10
A5,1,10
A6,1,10
A7,1,10
A8,1,10
A9,1,10
A10,1,10
A11,1,10
A12,1,10
A13,2,10
A14,2,10
A15,2,10
A16,2,10
A17,2,10
A18,2,10
A19,2,10
A20,2,10
A21,2,10
A22,2,10
A23,2,10
A24,2,10
B1,4,10
B2,4,10
B3,4,10
B4,4,10
B5,4,10
B6,4,10
B7,4,10
B8,4,10
B9,4,10
B10,4,10
B11,4,10
B12,4,10
B13,8,10
B14,8,10
B15,8,10
B16,8,10
B17,8,10
B18,8,10
B19,8,10
B20,8,10
B21,8,10
B22,8,10
B23,8,10
B24,8,10
C1,16,10
C2,16,10
C3,16,10
C4,16,10
C5,16,10
C6,16,10
C7,16,10
C8,16,10
C9,16,10
C10,16,10
C11,16,10
C12,16,10
C13,32,10
C14,32,10
C15,32,10
C16,32,10
C17,32,10
C18,32,10
C19,32,10
C20,32,10
C21,32,10
C22,32,10
C23,32,10
C24,32,10
D1,64,10
D2,64,10
D3,64,10
D4,64,10
D5,64,10
D6,64,10
D7,64,10
D8,64,10
D9,64,10
D10,64,10
D11,64,10
D12,64,10
D13,128,10
D14,128,10
D15,128,10
D16,128,10
D17,128,10
D18,128,10
D19,128,10
D20,128,10
D21,128,10
D22,128,10
D23,128,10
D24,128,10
E1,256,10
E2,256,10
E3,256,10
E4,256,10
E5,256,10
E6,256,10
E7,256,10
E8,256,10
E9,256,10
E10,256,10
E11,256,10
E12,256,10
E13,512,10
E14,512,10
E15,512,10
E16,512,10
E17,512,10
E18,512,10
E19,512,10
E20,512,10
E21,512,10
E22,512,10
E23,512,10
E24,512,10
F1,1024,10
F2,1024,10
F3,1024,10
F4,1024,10
F5,1024,10
F6,1024,10
F7,1024,10
F8,1024,10
F9,1024,10
F10,1024,10
F11,1024,10
F12,1024,10
F13,2048,10
F14,2048,10
F15,2048,10
F16,2048,10
F17,2048,10
F18,2048,10
F19,2048,10
F20,2048,10
F21,2048,10
F22,2048,10
F23,2048,10
F24,2048,10
G1,0,0
G2,0,0
G3,0,0
G4,0,0
G5,0,0
G6,0,0
G7,0,0
G8,0,0
G9,0,0
G10,0,0
G11,0,0
G12,0,0
G13,0,0
G14,0,0
G15,0,0
G16,0,0
G17,0,0
G18,0,0
G19,0,0
G20,0,0
G21,0,0
G22,0,0
G23,0,0
G24,0,0
H1,0,10
H2,0,10
H3,0,10
H4,0,10
H5,0,10
H6,0,10
H7,0,10
H8,0,10
H9,0,10
H10,0,10
H11,0,10
H12,0,10
H13,0,0
H14,0,0
H15,0,0
H16,0,0
H17,0,0
H18,0,0
H19,0,0
H20,0,0
H21,0,0
H22,0,0
H23,0,0
H24,0,0
I1,1,0
I2,1,0
I3,1,0
I4,1,0
I5,1,0
I6,1,0
I7,1,0
I8,1,0
I9,1,0
I10,1,0
I11,1,0
I12,1,0
I13,2,0
I14,2,0
I15,2,0
I16,2,0
I17,2,0
I18,2,0
I19,2,0
I20,2,0
I21,2,0
I22,2,0
I23,2,0
I24,2,0
J1,4,0
J2,4,0
J3,4,0
J4,4,0
J5,4,0
J6,4,0
J7,4,0
J8,4,0
J9,4,0
J10,4,0
J11,4,0
J12,4,0
J13,8,0
J14,8,0
J15,8,0
J16,8,0
J17,8,0
J18,8,0
J19,8,0
J20,8,0
J21,8,0
J22,8,0
J23,8,0
J24,8,0
K1,16,0
K2,16,0
K3,16,0
K4,16,0
K5,16,0
K6,16,0
K7,16,0
K8,16,0
K9,16,0
K10,16,0
K11,16,0
K12,16,0
K13,32,0
K14,32,0
K15,32,0
K16,32,0
K17,32,0
K18,32,0
K19,32,0
K20,32,0
K21,32,0
K22,32,0
K23,32,0
K24,32,0
L1,64,0
L2,64,0
L3,64,0
L4,64,0
L5,64,0
L6,64,0
L7,64,0
L8,64,0
L9,64,0
L10,64,0
L11,64,0
L12,64,0
L13,128,0
L14,128,0
L15,128,0
L16,128,0
L17,128,0
L18,128,0
L19,128,0
L20,128,0
L21,128,0
L22,128,0
L23,128,0
L24,128,0
M1,256,0
M2,256,0
M3,256,0
M4,256,0
M5,256,0
M6,256,0
M7,256,0
M8,256,0
M9,256,0
M10,256,0
M11,256,0
M12,256,0
M13,512,0
M14,512,0
M15,512,0
M16,512,0
M17,512,0
M18,512,0
M19,512,0
M20,512,0
M21,512,0
M22,512,0
M23,512,0
M24,512,0
N1,1024,0
N2,1024,0
N3,1024,0
N4,1024,0
N5,1024,0
N6,1024,0
N7,1024,0
N8,1024,0
N9,1024,0
N10,1024,0
N11,1024,0
N12,1024,0
N13,2048,0
N14,2048,0
N15,2048,0
N16,2048,0
N17,2048,0
N18,2048,0
N19,2048,0
N20,2048,0
N21,2048,0
N22,2048,0
N23,2048,0
N24,2048,0
O1,0,0
O2,0,0
O3,0,0
O4,0,0
O5,0,0
O6,0,0
O7,0,0
O8,0,0
O9,0,0
O10,0,0
O11,0,0
O12,0,0
O13,0,0
O14,0,0
O15,0,0
O16,0,0
O17,0,0
O18,0,0
O19,0,0
O20,0,0
O21,0,0
O22,0,0
O23,0,0
O24,0,0
P1,0,0
P2,0,0
P3,0,0
P4,0,0
P5,0,0
P6,0,0
P7,0,0
P8,0,0
P9,0,0
P10,0,0
P11,0,0
P12,0,0
P13,0,0
P14,0,0
P15,0,0
P16,0,0
P17,0,0
P18,0,0
P19,0,0
P20,0,0
P21,0,0
P22,0,0
P23,0,0
P24,0,0
