Tube Name:,Sample ID:,All.Events ,P1.Events,P2.Events,GFPcountEvents,GFPgatedEvents,P1.EventsV,P2.Events.V,GFPcountEvents.V,GFPgatedEvents.V
03-Dilution-A6,Dilution,500725,8928,9616,10640,7435,957.84,1031.65,1141.51,797.66
03-Dilution-A7,Dilution,830167,0,8954,10811,6705,0,587.53,709.38,439.96
03-Dilution-A8,Dilution,1462809,2,8328,12248,6008,0.07,309.88,455.74,223.55
03-Dilution-A9,Dilution,2141919,1,6440,11983,4399,0.03,170.37,317.02,116.38
03-Dilution-A10,Dilution,1415740,0,3438,5573,1170,0,138.06,223.8,46.98
03-Dilution-A11,Dilution,3782081,1,5000,14947,2643,0.01,71.35,213.29,37.71
03-Dilution-B6,Dilution,252995,0,5000,5371,3737,0,1040.68,1117.9,777.8
03-Dilution-B7,Dilution,428360,0,5000,5743,3656,0,618.12,709.97,451.97
03-Dilution-B8,Dilution,885555,1,5000,6883,3465,0.06,308.26,424.34,213.62
03-Dilution-B9,Dilution,2078140,0,5000,10243,3150,0,147.45,302.06,92.89
03-Dilution-B10,Dilution,2157776,0,5000,7851,1331,0,126.81,199.12,33.76
03-Dilution-B11,Dilution,2024012,0,2008,7410,965,0,61.78,227.97,29.69
03-Dilution-G1,Dilution,16737,0,5000,6072,4176,0,31656.91,38444.15,26439.85
03-Dilution-G2,Dilution,14818,1,5000,6021,4016,7.49,37456.92,45105.62,30085.39
03-Dilution-G3,Dilution,13508,0,5000,5379,3850,0,35548.4,38242.97,27372.27
03-Dilution-G4,Dilution,11932,0,5000,4549,3714,0,36401.6,33118.18,27039.11
03-Dilution-G5,Dilution,41511,0,5000,4993,3866,0,8810.63,8798.29,6812.38
03-Dilution-G6,Dilution,28668,0,5000,4808,3799,0,11443.31,11003.88,8694.63
03-Dilution-G7,Dilution,87688,1,5000,5142,3887,0.81,4048.24,4163.21,3147.1
03-Dilution-G8,Dilution,122493,0,5000,4942,3803,0,2640.74,2610.11,2008.55
03-Dilution-G9,Dilution,200607,1,5000,5131,3812,0.3,1486.13,1525.07,1133.03
03-Dilution-G10,Dilution,409124,0,5000,5525,3652,0,746.14,824.48,544.98
03-Dilution-G11,Dilution,759736,1,5000,6503,3634,0.08,422.32,549.27,306.94
03-Dilution-G12,Dilution,1233121,0,705,3682,118,0,38.43,200.71,6.43
03-Dilution-H1,Dilution,16636,1,5000,6184,4226,6.22,31123.56,38493.62,26305.63
03-Dilution-H2,Dilution,33265,1,5000,6251,4067,2.2,11008.53,13762.87,8954.34
03-Dilution-H3,Dilution,13321,1,5000,5605,3901,7.48,37395.29,41920.12,29175.8
03-Dilution-H4,Dilution,27585,0,5000,5263,3854,0,12149.39,12788.45,9364.75
03-Dilution-H5,Dilution,28904,1,5000,5060,3883,2.25,11234.61,11369.42,8724.8
03-Dilution-H6,Dilution,31057,1,5000,5088,3929,2.03,10145.42,10323.98,7972.27
03-Dilution-H7,Dilution,74067,0,5000,5109,3879,0,3990.42,4077.41,3095.77
03-Dilution-H8,Dilution,140962,0,5000,5204,3808,0,2028.48,2111.25,1544.89
03-Dilution-H9,Dilution,265809,1,5000,5385,3765,0.21,1072.96,1155.58,807.94
03-Dilution-H10,Dilution,505271,0,5000,6054,3606,0,560.1,678.17,403.94
03-Dilution-H11,Dilution,973766,0,5000,7308,3491,0,304.36,444.85,212.5
03-Dilution-H12,Dilution,1668229,0,751,5221,108,0,27.21,189.17,3.91
